Timestamp,In which course are you enrolled?,Course design [The assigned readings have helped me meet the Learning Targets.],Course design [The RStudio primers have helped me meet the Learning Targets.],Course design [The Team Activities have helped me meet the Learning Targets.],Course design [The Learning Journals have helped me meet the Learning Targets.],Course design [The online class sessions have helped me meet the Learning Targets.],Course design [The Projects have helped me meet the Learning Targets.],Course design [The Applications have helped me meet the Learning Targets.],Course design [The Blackboard course site is organized in a way that helps me to effectively navigate the course materials.],Instructor [The instructor is genuinely interested in my understanding.],Instructor [The instructor answers questions effectively.],Instructor [The instructor is available for extra help when needed.],"What as been the best aspect of *this course* so far, and why?","If there was one thing about *this course* that you would change, what would it be, and why?",What is one thing that *you* can do differently to improve your learning? Explain how you plan to do this.,Optional: Provide any additional comments that you feel that were not addressed by the above items or that you wish to expand upon here.
9/28/2020 19:59:55,STA 518,Moderately agree,Strongly agree,Strongly agree,Strongly disagree,Slightly agree,Strongly agree,Slightly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"I think the best aspect so far has been the effectiveness of teaching the material. I think for programming, a bunch of demonstrations/lectures isn't very effective, but this course's set up of reading/doing primers before class and then practice has been really good in my opinion. ","I think the learning journals are far too frequent. Honestly it feels like I'm stretching for content a lot because there are only two classes a week. I feel like the class is pretty time consuming with everything else, and the learning journals are just another thing. I definitely understand that they are useful and its good to reflect on what we've learned, I just think too many are required. ","I think one thing I can do better is utilizing more of the tidyverse content and cheatsheets. Also, sometimes in the team activities I may not do a good enough job of understanding everything going on, I just follow the instructions. So I could slow down a bit and try to learn it a bit better, but that is kind of hard in a group setting trying not too get too far behind.","Overall, I really like this course and I feel like I'm learning a lot. However, I think the application from this weekend was pretty rough. I hope that those get better as we move forward. I understand they are supposed to be challenging and prove what we know, but it took a **very** long time and a lot of effort. Maybe having a bit more time to work on them or toning down the difficulty a bit would be helpful. I am definitely spending way more than 6 hours outside of class on coursework, which concerns me going forward because there are still a lot of projects left and more applications."
9/28/2020 20:02:36,STA 418,Strongly disagree,Moderately agree,Slightly agree,Strongly disagree,Moderately disagree,Slightly agree,Moderately disagree,Moderately agree,Moderately agree,Slightly agree,Slightly disagree,The best aspect of this course is the RStudio Primers because they teach me a lot about what I can do with R. ,"I would change the need for so many types of assignments. It's kind of hard to keep up with learning journals, preparations, follow ups, activities, projects, applications, and then the videos/meetings with you. ",I really don't know. I take my time and get everything done in advance. I also work ahead on activities (my whole group does) so we have a better chance of actually finishing it in class. I still am not doing how I would expect for the amount of work I put into this class. ,
9/28/2020 20:08:17,STA 518,Strongly agree,Strongly agree,Moderately agree,Strongly disagree,Slightly disagree,Moderately agree,Moderately agree,Strongly agree,Strongly agree,Moderately agree,Strongly agree,"I like the organization of the course work: prep, activity, project/assessment. This is how I tend to learn. Read/see how its done, practice doing it myself, assess.  ","The learning Journals. I do not find these useful for my learning, especially without specific prompts/I have no idea what benefit they provide me in this course.  I would also remove the team activity merging because I prefer to be responsible for my own work. ",Ask more questions. I tend to search for answers on my own for far too long before asking for help. ,"The time spent on this course in order to maybe get an A is too much or at least very unexpected given it is a 3 credit course. Additionally, it would be helpful to have prep for the week rather than by day or preps posted earlier. Having roughly 24hours to complete in-class work and the prep is not a lot of time for students who have responsibilities outside of this course. "
9/28/2020 21:12:18,STA 518,Slightly disagree,Slightly agree,Slightly agree,Moderately disagree,Slightly agree,Slightly disagree,Moderately disagree,Strongly agree,Moderately agree,Moderately agree,Strongly agree,The useful and straightforward RStudio primers.,It would be nice if there was one activity per week instead of 2. So that groups have time to work on it and not stress over deadlines.,Prioritize this class over my other ones. I'm realizing that this class requires a lot of outside class time. I'll open up my schedule to work on this class every day. ,"Altogether, I feel like we have too much homework. I appreciate that we can revise things. However, I find it hard to put my 100% effort into my other classes when this class is taking most of my focus. Not to be dramatic, but I'm worried about my mental health for the rest of the semester. Online classes (specifically this one) are not easy during a pandemic."
9/28/2020 21:47:25,STA 518,Moderately agree,Strongly agree,Strongly agree,Moderately agree,Moderately agree,Strongly agree,Strongly agree,Moderately agree,Strongly agree,Strongly agree,Strongly agree,"The group assignments, because we're doing them in class, so we don't have to find some time outside of class to meet (which is the worst part of group work), and also because we don't have to decide parts for each person to do like most group work I've been a part of in the past.",I think I'd prefer the prep work to be due before the start of class rather than the night before (though this is because my schedule is really weird and I do most of my homework between midnight and 4am).,"I feel like there isn't much more I can do to improve my learning, though I did somehow accidently cross off Prep 8 from my assignment list thing that I keep without actually doing it, which I should make sure to not do again.",
9/29/2020 13:16:00,STA 418,Slightly agree,Moderately agree,Moderately disagree,Strongly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Moderately agree,Slightly agree,Moderately agree,Moderately agree,I think the best part of the course so far is the studio primer activities which seem to help. The activities during class would be a second.,Probably the amount of time working with groups. Me and my group barely talk to each other during class time and so they don't help.,I think the biggest thing would be to find some sort of suppliment material to work off of. There are things that we do in projects and applications that I don't seem to get. ,"I feel like during certain assignments and such that we are asked to do things that we haven't been taught or that need a lot better descriptions. For example, during the last application, we were required to use the paste0 function which we hadn't done before and after reading the documentation provided by R help command, it was still unclear how it should be used. "
9/29/2020 15:14:52,STA 418,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"The self-discovery and proficiency-style learning in the course allow me to be flexible in my learning, sometimes discovering functions and topics not explicitly covered in the preparations or syllabus.","I'd rather have this course in person. But then again, I'd rather have every course in person. For how this course had to be presented because of the pandemic, it is an excellent course. I have no negative or constructive comments to make.","I can schedule a time to do my classwork. With how much flexibility is offered to me, I tend to be a little too flexible in how I get work done, sometimes rushing it or submitting it last-minute.",
9/29/2020 15:30:11,STA 418,Strongly agree,Strongly agree,Strongly agree,Moderately disagree,Strongly agree,Slightly agree,Slightly agree,Moderately agree,Strongly agree,Strongly agree,Strongly agree,The group work. It has helped me understand the concepts and learn better. They're always there to answer questions and provide help if I need it. ,Some of the final grading requirements (such as what is expected for project and learning targets) are unclear to me. I'm not sure if videos and additional work is expected. ,Keep up to date on my Learning Journals. I plan to set reminders to complete them. ,
9/29/2020 15:40:52,STA 418,Moderately agree,Strongly agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Moderately agree,Slightly agree,Strongly agree,Moderately agree,Slightly agree,"I think the primers and, in class and outside classroom meetings have really benefitted the most in understanding and completing the activities.",Probably more opportunities to receive help on activities and projects further in the week.,communicate with my group more to receive help on any questions in the activities. Make sure I clearly communicate the problem I'm having in the activity so they can easily respond with an answer.,N/A
9/29/2020 15:52:15,STA 518,Strongly agree,Moderately agree,Moderately agree,Strongly disagree,Slightly agree,Moderately agree,Moderately agree,Moderately agree,Moderately agree,Moderately agree,Moderately agree,Have learned a lot by doing each of the activities and reading,"There is one too many assignments to have prepared for each class. If I didn't know how many credits this class was worth and I had to guess, I would say 5 rather than 3.",Not rushing though the primers and readings for the sake of time allocation.,
